period,region,con,arv_count
2013-10,Asia,United Arab Emirates,1704
2013-10,Asia,Other Countries in West Asia,1713
2013-10,Europe,Austria,2153
2013-10,Europe,Belgium &  Luxembourg,2377
2013-10,Europe,Denmark,3375
2013-10,Europe,Finland,2542
2013-10,Europe,France,16064
2013-10,Europe,Germany,24080
2013-10,Europe,Greece,741
2013-10,Europe,Italy,6005
2013-10,Europe,Netherlands,8994
2013-10,Europe,Norway,3010
2013-10,Europe,Poland,1777
2013-10,Europe,Rep of Ireland,2614
2013-10,Europe,Russian Federation (CIS),7093
2013-10,Europe,Spain,3671
2013-10,Europe,Sweden,4117
2013-10,Europe,Switzerland,7464
2013-10,Europe,Turkey,3117
2013-10,Europe,UK,49033
2013-10,Europe,Other Countries in Eastern Europe,6647
2013-10,Europe,Other Countries in Western Europe,1609
2013-10,Oceania,Australia,89999
2013-10,Oceania,New Zealand,11951
2013-10,Oceania,Other Countries in Oceania,917
2013-10,Africa,Egypt,609
2013-10,Africa,Mauritius,589
2013-10,Africa,South Africa (Rep of),2531
2013-10,Africa,Other Countries in Africa,2146
2013-10,Not Stated,Not Stated,211
2013-11,Americas,Canada,11402
2013-11,Americas,USA,43566
2013-11,Americas,Other Countries in Americas,5334
2013-11,Asia,Brunei Darussalam,5869
2013-11,Asia,Indonesia,238982
2013-11,Asia,Malaysia,107570
2013-11,Asia,Myanmar,7691
2013-11,Asia,Philippines,58201
2013-11,Asia,Thailand,31849
2013-11,Asia,Vietnam,26887
2013-11,Asia,Other Countries in Southeast Asia,4356
2013-11,Asia,China,145120
2013-11,Asia,Taiwan,23095
2013-11,Asia,Japan,77914
2013-11,Asia,South Korea,42620
2013-11,Asia,Other Countries in North Asia,917
2013-11,Asia,Bangladesh,10007
2013-11,Asia,India,80113
2013-11,Asia,Nepal,1292
2013-11,Asia,Pakistan,1685
2013-11,Asia,Sri Lanka,6979
2013-11,Asia,Other Countries in South Asia,734
2013-11,Asia,Iran,902
2013-11,Asia,Israel,1150
2013-11,Asia,Kuwait,305
2013-11,Asia,Saudi Arabia,798
2013-11,Asia,United Arab Emirates,1030
2013-11,Asia,Other Countries in West Asia,1274
2013-11,Europe,Austria,2432
2013-11,Europe,Belgium &  Luxembourg,2497
2013-11,Europe,Denmark,2839
2013-11,Europe,Finland,3556
2013-11,Europe,France,14724
2013-11,Europe,Germany,23673
2013-11,Europe,Greece,738
2013-11,Europe,Italy,6466
2013-11,Europe,Netherlands,8172
2013-11,Europe,Norway,3264
2013-11,Europe,Poland,2555
2013-11,Europe,Rep of Ireland,2312
2013-11,Europe,Russian Federation (CIS),8606
2013-11,Europe,Spain,3599
2013-11,Europe,Sweden,4124
2013-11,Europe,Switzerland,6971
2013-11,Europe,Turkey,1510
2013-11,Europe,UK,49815
2013-11,Europe,Other Countries in Eastern Europe,7933
2013-11,Europe,Other Countries in Western Europe,1894
2013-11,Oceania,Australia,72137
2013-11,Oceania,New Zealand,9654
2013-11,Oceania,Other Countries in Oceania,1050
2013-11,Africa,Egypt,379
2013-11,Africa,Mauritius,1173
2013-11,Africa,South Africa (Rep of),2206
2013-11,Africa,Other Countries in Africa,1875
2013-11,Not Stated,Not Stated,206
2013-12,Americas,Canada,13638
2013-12,Americas,USA,46140
2013-12,Americas,Other Countries in Americas,5817
2013-12,Asia,Brunei Darussalam,11459
2013-12,Asia,Indonesia,324307
2013-12,Asia,Malaysia,119875
2013-12,Asia,Myanmar,10113
2013-12,Asia,Philippines,68789
2013-12,Asia,Thailand,39285
2013-12,Asia,Vietnam,28325
2013-12,Asia,Other Countries in Southeast Asia,4012
2013-12,Asia,China,153499
2013-12,Asia,Taiwan,20104
2013-12,Asia,Japan,77565
2013-12,Asia,South Korea,38615
2013-12,Asia,Other Countries in North Asia,1169
2013-12,Asia,Bangladesh,10784
2013-12,Asia,India,91350
2013-12,Asia,Nepal,1745
2013-12,Asia,Pakistan,2075
2013-12,Asia,Sri Lanka,12248
2013-12,Asia,Other Countries in South Asia,1139
2013-12,Asia,Iran,1310
2013-12,Asia,Israel,1222
2013-12,Asia,Kuwait,656
2013-12,Asia,Saudi Arabia,738
2013-12,Asia,United Arab Emirates,2116
2013-12,Asia,Other Countries in West Asia,1632
2013-12,Europe,Austria,2385
2013-12,Europe,Belgium &  Luxembourg,2391
2013-12,Europe,Denmark,2858
2013-12,Europe,Finland,3867
2013-12,Europe,France,15162
2013-12,Europe,Germany,24453
2013-12,Europe,Greece,706
2013-12,Europe,Italy,5931
2013-12,Europe,Netherlands,7628
2013-12,Europe,Norway,2886
2013-12,Europe,Poland,1664
2013-12,Europe,Rep of Ireland,2462
2013-12,Europe,Russian Federation (CIS),9840
2013-12,Europe,Spain,3103
2013-12,Europe,Sweden,6534
2013-12,Europe,Switzerland,7185
2013-12,Europe,Turkey,1438
2013-12,Europe,UK,49024
2013-12,Europe,Other Countries in Eastern Europe,8632
2013-12,Europe,Other Countries in Western Europe,1764
2013-12,Oceania,Australia,94751
2013-12,Oceania,New Zealand,11480
2013-12,Oceania,Other Countries in Oceania,1109
2013-12,Africa,Egypt,498
2013-12,Africa,Mauritius,1412
2013-12,Africa,South Africa (Rep of),5673
2013-12,Africa,Other Countries in Africa,2633
2013-12,Not Stated,Not Stated,208
2014-01,Americas,Canada,13824
2014-01,Americas,USA,47714
2014-01,Americas,Other Countries in Americas,7591
2014-01,Asia,Brunei Darussalam,4971
2014-01,Asia,Indonesia,285958
2014-01,Asia,Malaysia,69521
2014-01,Asia,Myanmar,8027
2014-01,Asia,Philippines,48389
2014-01,Asia,Thailand,32236
2014-01,Asia,Vietnam,24700
2014-01,Asia,Other Countries in Southeast Asia,3976
2014-01,Asia,China,215493
2014-01,Asia,Taiwan,32151
2014-01,Asia,Japan,65820
2014-01,Asia,South Korea,62994
2014-01,Asia,Other Countries in North Asia,1093
2014-01,Asia,Bangladesh,10574
2014-01,Asia,India,72989
2014-01,Asia,Nepal,1675
2014-01,Asia,Pakistan,1613
2014-01,Asia,Sri Lanka,7533
2014-01,Asia,Other Countries in South Asia,788
2014-01,Asia,Iran,1139
2014-01,Asia,Israel,1402
2014-01,Asia,Kuwait,670
2014-01,Asia,Saudi Arabia,2216
2014-01,Asia,United Arab Emirates,955
2014-01,Asia,Other Countries in West Asia,1461
2014-01,Europe,Austria,2742
2014-01,Europe,Belgium &  Luxembourg,2265
2014-01,Europe,Denmark,4208
2014-01,Europe,Finland,4695
2014-01,Europe,France,15328
2014-01,Europe,Germany,27321
2014-01,Europe,Greece,848
2014-01,Europe,Italy,6638
2014-01,Europe,Netherlands,9358
2014-01,Europe,Norway,3481
2014-01,Europe,Poland,2268
2014-01,Europe,Rep of Ireland,2757
2014-01,Europe,Russian Federation (CIS),16234
2014-01,Europe,Spain,3212
2014-01,Europe,Sweden,7366
2014-01,Europe,Switzerland,7744
2014-01,Europe,Turkey,2712
2014-01,Europe,UK,52412
2014-01,Europe,Other Countries in Eastern Europe,11488
2014-01,Europe,Other Countries in Western Europe,1706
2014-01,Oceania,Australia,113528
2014-01,Oceania,New Zealand,12579
2014-01,Oceania,Other Countries in Oceania,735
2014-01,Africa,Egypt,460
2014-01,Africa,Mauritius,713
2014-01,Africa,South Africa (Rep of),3256
2014-01,Africa,Other Countries in Africa,2054
2014-01,Not Stated,Not Stated,261
2014-02,Americas,Canada,13709
2014-02,Americas,USA,48478
2014-02,Americas,Other Countries in Americas,5968
2014-02,Asia,Brunei Darussalam,4034
2014-02,Asia,Indonesia,220223
2014-02,Asia,Malaysia,71084
2014-02,Asia,Myanmar,7595
2014-02,Asia,Philippines,47228
2014-02,Asia,Thailand,31739
2014-02,Asia,Vietnam,32541
2014-02,Asia,Other Countries in Southeast Asia,4325
2014-02,Asia,China,239223
2014-02,Asia,Taiwan,33144
2014-02,Asia,Japan,74042
2014-02,Asia,South Korea,54448
2014-02,Asia,Other Countries in North Asia,796
2014-02,Asia,Bangladesh,9470
2014-02,Asia,India,68035
2014-02,Asia,Nepal,1351
2014-02,Asia,Pakistan,1441
2014-02,Asia,Sri Lanka,6446
2014-02,Asia,Other Countries in South Asia,718
2014-02,Asia,Iran,1104
2014-02,Asia,Israel,1586
2014-02,Asia,Kuwait,1305
2014-02,Asia,Saudi Arabia,1105
2014-02,Asia,United Arab Emirates,1012
